date,branch,rating,reviewer,comment
2025-11-02,Dubai - JBR,5,Ahmed,"Amazing food and friendly staff! The lamb mandi was perfectly cooked. Will definitely come back."
2025-11-04,Dubai - JBR,4,Fatima,"Good food but waited 25 minutes for our order. Family section was clean."
2025-11-05,Abu Dhabi - Marina,5,Khalid,"خرافي والله! اكل لذيذ وخدمه ممتازه. تستاهل ٥ نجوم"
2025-11-08,Dubai - JBR,2,Sarah,"Cold food, rude waiter, and they ignored us for 15 minutes. Very disappointing."
2025-11-10,Abu Dhabi - Marina,5,Omar,"Best shisha in the city, great rooftop view. Brought the whole family."
2025-11-12,Dubai - Mall of Emirates,3,Layla,"Food was okay but overpriced for what you get. Decor is nice though."
2025-11-15,Dubai - JBR,1,Yusuf,"Found a hair in my food. Manager didn't even apologize. Avoid this place."
2025-11-16,Abu Dhabi - Marina,5,Mona,"اجواء راقيه وأكل ممتاز. ممتاز للعوائل وفيه مصلى نظيف"
2025-11-18,Dubai - Mall of Emirates,4,Hassan,"Decent food, fast service. Parking was a nightmare on Friday night."
2025-11-20,Dubai - JBR,5,Aisha,"Iftar buffet was amazing during Ramadan! So much variety. Halal certified which I appreciate."
2025-11-22,Abu Dhabi - Marina,4,Tariq,"الخدمه ممتازه والطعام لذيذ بس الاسعار مرتفعه شوي"
2025-11-25,Dubai - Mall of Emirates,2,Nour,"Bland food, slow service. Won't be returning. The wait time was over 30 minutes."
2025-11-28,Dubai - JBR,5,Saeed,"Excellent! The seafood was fresh and the staff were so welcoming. Beautiful ambiance."
2025-12-01,Abu Dhabi - Marina,3,Reem,"Good but not great. Menu is limited compared to other branches."
2025-12-03,Dubai - Mall of Emirates,5,Mohammed,"Brought my kids and they loved it - kids menu is great and the play area kept them busy."
2025-12-05,Dubai - JBR,4,Nadia,"Nice spot for date night. Slightly pricey but worth it for special occasions."
2025-12-07,Abu Dhabi - Marina,1,Faisal,"Worst experience. Order was wrong, food was cold when delivered via Talabat. Asked for refund, got ignored."
2025-12-10,Dubai - JBR,5,Hala,"تحفه! اكلهم ممتاز خصوصا المشاوي. والقسم العائلي نظيف ومريح"
2025-12-12,Dubai - Mall of Emirates,4,Bilal,"Good food, friendly service. Bathroom could be cleaner though."
2025-12-15,Abu Dhabi - Marina,5,Zainab,"Amazing iftar this Ramadan! The variety was incredible and they had a beautiful Ramadan tent."
2025-12-18,Dubai - JBR,2,Rami,"Service was slow, waited 40 minutes for cold pasta. Not worth the price at all."
2025-12-20,Dubai - Mall of Emirates,5,Hind,"Perfect family restaurant! Family section is well separated, kids menu is great, and parking is easy."
2025-12-22,Abu Dhabi - Marina,4,Salem,"Good shisha quality, but the smoke smell got into my clothes. Need better ventilation."
2025-12-25,Dubai - JBR,5,Maryam,"خدمه راقيه واكل لذيذ ومميز. افضل مطعم في الدوبي"
2025-12-28,Dubai - Mall of Emirates,3,Khalifa,"Average. Nothing special but nothing terrible either. Decor is dated."
2026-01-02,Dubai - JBR,5,Lina,"Loved the iftar suhoor menu! Suhoor was traditional and delicious. Highly recommend."
2026-01-05,Abu Dhabi - Marina,2,Adel,"Talabat order arrived 1 hour late and missing the appetizer. Disappointed with delivery."
2026-01-08,Dubai - Mall of Emirates,4,Sultan,"Good food, decent service. The view from the terrace is beautiful."
2026-01-10,Dubai - JBR,5,Mariam,"Best restaurant in JBR! Fresh seafood, attentive staff, and great atmosphere."
2026-01-12,Abu Dhabi - Marina,1,Jasem,"غالي جدا وما يستاهل. الخدمه بطيئه والاكل عادي جدا"
2026-01-15,Dubai - JBR,4,Dana,"Solid 4 stars. Food is consistently good. Could improve on wait times during peak hours."
2026-01-18,Dubai - Mall of Emirates,5,Yara,"Wonderful experience! Halal, family-friendly, has prayer area, and excellent food. Five stars all around."
2026-01-20,Abu Dhabi - Marina,3,Ibrahim,"Mixed feelings. The food was great but it took ages. Friday lunch was packed."
2026-01-22,Dubai - JBR,2,Huda,"Disappointed. Ordered via HungerStation, food arrived cold, items were missing."
2026-01-25,Abu Dhabi - Marina,5,Abdullah,"رائع! القسم العائلي ممتاز والمصلى نظيف. ننصح فيه"
2026-01-28,Dubai - Mall of Emirates,4,Reema,"Good food and ambiance. Waiter was attentive. Will come back."
